Handle,Title,Body HTML,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
zarishk-imported,Zarishk Imported,"<h2>Morganics Zarishk Imported</h2><p>Morganics Zarishk Imported is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is natural sweetness, familiar Pakistani dry-fruit routines and easy serving, with Pakistan-focused usage around tea-time, Ramadan tables, lunch boxes, breakfast bowls and gift trays.</p><h3>Best Use Cases</h3><ul><li>Tea-time serving</li><li>Ramadan tables</li><li>Lunch boxes</li><li>Breakfast bowls</li><li>Gift trays</li></ul><h3>Why Customers Choose It</h3><ul><li>Natural sweetness</li><li>Familiar Pakistani dry-fruit routine</li><li>Easy serving</li></ul><h3>How to Use</h3><p>Eat as a snack, pair with nuts, add to breakfast, serve at tea-time, or use in desserts and gift boxes.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use sensible portions, especially if managing sugar intake or specific dietary advice. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Dried Fruits",Dry Fruits,"Morganics, Dry Fruits, Zarishk, Zereshk, Zereshk Imported, Barberries, Zarishk Imported, زرشک امپورٹڈ",TRUE,Size,200g,ZAR-100,1199,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_01-zarishk.jpg,Zarishk Imported - زرشک امپورٹڈ | Morganics,Buy Zarishk Imported Online in Pakistan | Morganics,"Shop Morganics Zarishk Imported for tea-time, Ramadan tables, lunch boxes, breakfast bowls and gift trays. Freshness-led packing, practical usage guidance",active
zarishk-imported,,,,,,,,Size,500g,ZAR-100-500G,2998,shopify,0,deny,manual,TRUE,FALSE,,,,,
kajo-roasted,Kajo Roasted,"<h2>Morganics Kajo Roasted</h2><p>Morganics Kajo Roasted is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is naturally satisfying texture, family serving value and premium pantry appeal, with Pakistan-focused usage around clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting.</p><h3>Best Use Cases</h3><ul><li>Clean snacking</li><li>Tea-time serving</li><li>Breakfast bowls</li><li>Desserts</li><li>Premium gifting</li></ul><h3>Why Customers Choose It</h3><ul><li>Naturally satisfying texture</li><li>Family serving value</li><li>Premium pantry appeal</li></ul><h3>How to Use</h3><p>Serve directly for tea-time, office snacking, travel, guest trays or gift boxes. Keep sealed after opening to protect crunch.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"Morganics, Nuts, Kaju Roasted, Roasted Cashews, Kajo Roast, Kajo Roasted, بھنا ہوا کاجو",TRUE,Size,200g,CAS-RST-250,1299,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_02-kajo-roasted.jpg,Kajo Roasted - بھنا ہوا کاجو | Morganics,Buy Kajo Roasted Online in Pakistan | Morganics,"Shop Morganics Kajo Roasted for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting. Freshness-led packing, practical usage gui",active
kajo-roasted,,,,,,,,Size,500g,CAS-RST-250-500G,3248,shopify,0,deny,manual,TRUE,FALSE,,,,,
kajo-roasted,,,,,,,,Size,1kg,CAS-RST-250-1KG,6495,shopify,0,deny,manual,TRUE,FALSE,,,,,
hareer-sabaz,Hareer Sabaz,"<h2>Morganics Hareer Sabaz</h2><p>Morganics Hareer Sabaz is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only in sensible quantities according to familiar traditional practice or professional guidance.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,HAR-SAB-100,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_03-hareer-sabaz.jpg,Hareer Sabaz | Morganics,Buy Hareer Sabaz Online in Pakistan | Morganics,"Shop Morganics Hareer Sabaz for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage gu",active
kajo-fry,Kajo Fry,"<h2>Morganics Kajo Fry</h2><p>Morganics Kajo Fry is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is naturally satisfying texture, family serving value and premium pantry appeal, with Pakistan-focused usage around clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting.</p><h3>Best Use Cases</h3><ul><li>Clean snacking</li><li>Tea-time serving</li><li>Breakfast bowls</li><li>Desserts</li><li>Premium gifting</li></ul><h3>Why Customers Choose It</h3><ul><li>Naturally satisfying texture</li><li>Family serving value</li><li>Premium pantry appeal</li></ul><h3>How to Use</h3><p>Serve directly for tea-time, office snacking, travel, guest trays or gift boxes. Keep sealed after opening to protect crunch.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"Morganics, Nuts, Kaju Fry, Kaju Fried, Fried Cashews, Kajo Fried, Kajo Fry, کاجو فرائی",TRUE,Size,200g,CAS-FRD-250,1299,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_04-kajo-fry.jpg,Kajo Fry - کاجو فرائی | Morganics,Buy Kajo Fry Online in Pakistan | Morganics,"Shop Morganics Kajo Fry for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting. Freshness-led packing, practical usage guidanc",active
kajo-fry,,,,,,,,Size,500g,CAS-FRD-250-500G,3248,shopify,0,deny,manual,TRUE,FALSE,,,,,
kajo-fry,,,,,,,,Size,1kg,CAS-FRD-250-1KG,6495,shopify,0,deny,manual,TRUE,FALSE,,,,,
chasko-herb,Chasko Herb,"<h2>Morganics Chasko Herb</h2><p>Morganics Chasko Herb is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only in sensible quantities according to familiar traditional practice or professional guidance.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,CHASKO-100,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_05-chasko-herb.jpg,Chasko Herb - چسکو | Morganics,Buy Chasko Herb Online in Pakistan | Morganics,"Shop Morganics Chasko Herb for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage gui",active
ginseng-white,Ginseng White,"<h2>Morganics Ginseng White</h2><p>Morganics Ginseng White is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is heritage use, careful selection and clear precaution guidance, with Pakistan-focused usage around traditional pantry routines, guided wellness use and specialist ingredient needs.</p><h3>Best Use Cases</h3><ul><li>Traditional pantry routine</li><li>Guided wellness use</li><li>Specialist ingredient needs</li></ul><h3>Why Customers Choose It</h3><ul><li>Heritage use</li><li>Careful selection</li><li>Clear precaution guidance</li></ul><h3>How to Use</h3><p>Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items",Botanicals,"Morganics, Botanicals",TRUE,Size,Premium Pack,GIN-WHT-50,999,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_06-ginseng-white.jpg,Ginseng White | Morganics,Buy Ginseng White Online in Pakistan | Morganics,"Shop Morganics Ginseng White for traditional pantry routines, guided wellness use and specialist ingredient needs. Freshness-led packing, practical usage g",active
ashwagandha,Ashwagandha,"<h2>Morganics Ashwagandha</h2><p>Morganics Ashwagandha is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is aroma, traditional familiarity and practical kitchen use, with Pakistan-focused usage around tea, kitchen, aroma, traditional pantry and careful daily routines.</p><h3>Best Use Cases</h3><ul><li>Tea</li><li>Kitchen use</li><li>Aroma</li><li>Traditional pantry</li><li>Careful daily routine</li></ul><h3>Why Customers Choose It</h3><ul><li>Aroma-led pantry use</li><li>Traditional familiarity</li><li>Practical kitchen routine</li></ul><h3>How to Use</h3><p>Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Herbs may not suit every body; ask a qualified professional if pregnant, nursing, medicated or managing a condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Herbs & Spices",Herbs,"Morganics, Herbs",TRUE,Size,Premium Pack,ASH-100,849,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_07-ashwagandha.jpg,Ashwagandha - اشوگندا | Morganics,Buy Ashwagandha Online in Pakistan | Morganics,"Shop Morganics Ashwagandha for tea, kitchen, aroma, traditional pantry and careful daily routines. Freshness-led packing, practical usage guidance and safe",active
gur,Gur,"<h2>Morganics Gur</h2><p>Morganics Gur is a premium natural pantry product selected as a practical pantry ingredient. Customers should understand what it is, how it is commonly used, how to store it, and when to ask for professional guidance. The safe content angle is natural sweetness, kitchen practicality and familiar Pakistani taste, with Pakistan-focused usage around tea, breakfast, desserts, cooking and family pantry restocking.</p><h3>Best Use Cases</h3><ul><li>Tea</li><li>Breakfast</li><li>Desserts</li><li>Cooking</li><li>Family pantry restocking</li></ul><h3>Why Customers Choose It</h3><ul><li>Natural sweetness</li><li>Kitchen practicality</li><li>Familiar Pakistani taste</li></ul><h3>How to Use</h3><p>Use in tea, milk, breakfast bowls, desserts or cooking according to taste and dietary needs.</p><h3>Storage</h3><p>Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.</p><h3>Precautions</h3><p>Natural sweeteners are still sweet foods; use according to your dietary needs. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.</p>",Morganics,"Food, Beverages & Tobacco > Food Items > Sweeteners",Natural Sweeteners,"Morganics, Natural Sweeteners",TRUE,Size,Premium Pack,GUR-500,699,shopify,0,deny,manual,TRUE,FALSE,PASTE_SHOPIFY_CDN_URL_FOR_08-gur.jpg,Gur - گڑ | Morganics,Buy Gur Online in Pakistan | Morganics,"Shop Morganics Gur for tea, breakfast, desserts, cooking and family pantry restocking. Freshness-led packing, practical usage guidance and safe ecommerce i",active
